the input_files/RomeoAndJuliet.txt:866
project input_files/RomeoAndJuliet.txt:90
gutenberg input_files/RomeoAndJuliet.txt:32
ebook input_files/RomeoAndJuliet.txt:13
of input_files/RomeoAndJuliet.txt:535
romeo input_files/RomeoAndJuliet.txt:143
and input_files/RomeoAndJuliet.txt:793
juliet input_files/RomeoAndJuliet.txt:65
by input_files/RomeoAndJuliet.txt:132
william input_files/RomeoAndJuliet.txt:8
shakespeare input_files/RomeoAndJuliet.txt:8
this input_files/RomeoAndJuliet.txt:279
was input_files/RomeoAndJuliet.txt:51
one input_files/RomeoAndJuliet.txt:63
gutenbergs input_files/RomeoAndJuliet.txt:1
early input_files/RomeoAndJuliet.txt:18
files input_files/RomeoAndJuliet.txt:3
produced input_files/RomeoAndJuliet.txt:2
at input_files/RomeoAndJuliet.txt:87
a input_files/RomeoAndJuliet.txt:528
time input_files/RomeoAndJuliet.txt:34
when input_files/RomeoAndJuliet.txt:55
proofing input_files/RomeoAndJuliet.txt:1
methods input_files/RomeoAndJuliet.txt:2
tools input_files/RomeoAndJuliet.txt:1
were input_files/RomeoAndJuliet.txt:38
not input_files/RomeoAndJuliet.txt:283
well input_files/RomeoAndJuliet.txt:70
developed input_files/RomeoAndJuliet.txt:1
there input_files/RomeoAndJuliet.txt:67
is input_files/RomeoAndJuliet.txt:375
an input_files/RomeoAndJuliet.txt:91
improved input_files/RomeoAndJuliet.txt:1
edition input_files/RomeoAndJuliet.txt:2
title input_files/RomeoAndJuliet.txt:3
which input_files/RomeoAndJuliet.txt:71
may input_files/RomeoAndJuliet.txt:66
be input_files/RomeoAndJuliet.txt:235
viewed input_files/RomeoAndJuliet.txt:2
as input_files/RomeoAndJuliet.txt:167
httpswwwgutenbergorgebooks input_files/RomeoAndJuliet.txt:1
for input_files/RomeoAndJuliet.txt:256
use input_files/RomeoAndJuliet.txt:26
anyone input_files/RomeoAndJuliet.txt:6
anywhere input_files/RomeoAndJuliet.txt:3
no input_files/RomeoAndJuliet.txt:114
cost input_files/RomeoAndJuliet.txt:4
with input_files/RomeoAndJuliet.txt:304
almost input_files/RomeoAndJuliet.txt:5
