representation input_files/Hamlet.txt:6
amiablemacbeth input_files/Hamlet.txt:1
trumpettongued input_files/Hamlet.txt:1
stayspeakspeak input_files/Hamlet.txt:1
shrillsounding input_files/Hamlet.txt:1
fathermethinks input_files/Hamlet.txt:1
blacknightlike input_files/Hamlet.txt:1
whollyentirely input_files/Hamlet.txt:1
lasciviousness input_files/Hamlet.txt:1
suddenlytheres input_files/Hamlet.txt:1
transformation input_files/Hamlet.txt:1
conceivefriend input_files/Hamlet.txt:1
superscription input_files/Hamlet.txt:1
entertainments input_files/Hamlet.txt:1
qualifications input_files/Hamlet.txt:1
promisecrammed input_files/Hamlet.txt:1
mortifications input_files/Hamlet.txt:1
contemporaries input_files/Hamlet.txt:2
unapprehensive input_files/Hamlet.txt:1
recommendation input_files/Hamlet.txt:1
threeandtwenty input_files/Hamlet.txt:1
acknowledgment input_files/Hamlet.txt:1
ecclesiastical input_files/Hamlet.txt:1
redistribution input_files/Hamlet.txt:2
redistributing input_files/Hamlet.txt:2
nonproprietary input_files/Hamlet.txt:1
electronically input_files/Hamlet.txt:2
identification input_files/Hamlet.txt:1
barrenspirited input_files/JuliusCeaser.txt:1
redistribution input_files/JuliusCeaser.txt:2
redistributing input_files/JuliusCeaser.txt:2
nonproprietary input_files/JuliusCeaser.txt:1
electronically input_files/JuliusCeaser.txt:2
identification input_files/JuliusCeaser.txt:1
northumberland input_files/MacBeth.txt:2
cumberlandthat input_files/MacBeth.txt:1
templehaunting input_files/MacBeth.txt:1
trumpettongued input_files/MacBeth.txt:1
birthstrangled input_files/MacBeth.txt:1
voluptuousness input_files/MacBeth.txt:1
bloodyscepterd input_files/MacBeth.txt:1
redistribution input_files/MacBeth.txt:2
redistributing input_files/MacBeth.txt:2
nonproprietary input_files/MacBeth.txt:1
electronically input_files/MacBeth.txt:2
identification input_files/MacBeth.txt:1
carnegiemellon input_files/Othello.txt:3
httppromonetpg input_files/Othello.txt:2
electronically input_files/Othello.txt:3
capitalization input_files/Othello.txt:1
vnperfectnesse input_files/Othello.txt:1
reconciliation input_files/Othello.txt:1
disproportions input_files/Othello.txt:1
spiritstirring input_files/Othello.txt:1
preciousjuiced input_files/RomeoAndJuliet.txt:1
pricksongkeeps input_files/RomeoAndJuliet.txt:1
fashionmongers input_files/RomeoAndJuliet.txt:1
loveperforming input_files/RomeoAndJuliet.txt:1
unthankfulness input_files/RomeoAndJuliet.txt:1
longexperiencd input_files/RomeoAndJuliet.txt:1
redistribution input_files/RomeoAndJuliet.txt:2
redistributing input_files/RomeoAndJuliet.txt:2
nonproprietary input_files/RomeoAndJuliet.txt:1
electronically input_files/RomeoAndJuliet.txt:2
identification input_files/RomeoAndJuliet.txt:1
generaltriumph input_files/TomSawyer.txt:1
devilscautious input_files/TomSawyer.txt:1
situationgrave input_files/TomSawyer.txt:1
generosityaunt input_files/TomSawyer.txt:1
diamondssearch input_files/TomSawyer.txt:1
caveprotection input_files/TomSawyer.txt:1
circumstantial input_files/TomSawyer.txt:1
chowchchowchow input_files/TomSawyer.txt:1
mournaablessed input_files/TomSawyer.txt:1
superintendent input_files/TomSawyer.txt:7
unquestionably input_files/TomSawyer.txt:2
standingcollar input_files/TomSawyer.txt:1
constantinople input_files/TomSawyer.txt:2
impressiveness input_files/TomSawyer.txt:2
outrageousness input_files/TomSawyer.txt:1
slaughterhouse input_files/TomSawyer.txt:4
inarticulately input_files/TomSawyer.txt:1
apprehensively input_files/TomSawyer.txt:1
lookaheremaybe input_files/TomSawyer.txt:1
congratulating input_files/TomSawyer.txt:1
ostentatiously input_files/TomSawyer.txt:1
healthjournals input_files/TomSawyer.txt:1
metaphorically input_files/TomSawyer.txt:1
harperhardeyed input_files/TomSawyer.txt:1
simultaneously input_files/TomSawyer.txt:1
hellumaleehard input_files/TomSawyer.txt:1
consciencefree input_files/TomSawyer.txt:1
plausibilities input_files/TomSawyer.txt:1
clotheswithout input_files/TomSawyer.txt:1
conflagrations input_files/TomSawyer.txt:1
chickenhearted input_files/TomSawyer.txt:2
oppressiveness input_files/TomSawyer.txt:1
girlsplaymates input_files/TomSawyer.txt:1
reconciliation input_files/TomSawyer.txt:1
anatomycarried input_files/TomSawyer.txt:1
quicksomething input_files/TomSawyer.txt:1
boysconsidered input_files/TomSawyer.txt:1
indestructible input_files/TomSawyer.txt:1
disappointment input_files/TomSawyer.txt:3
confidentially input_files/TomSawyer.txt:1
superabundance input_files/TomSawyer.txt:1
suprintendents input_files/TomSawyer.txt:1
daytimeanybody input_files/TomSawyer.txt:1
thoughnothings input_files/TomSawyer.txt:1
momenteloquent input_files/TomSawyer.txt:1
footpassengers input_files/TomSawyer.txt:1
horsewhippeddo input_files/TomSawyer.txt:1
secondstenthen input_files/TomSawyer.txt:1
selfpossession input_files/TomSawyer.txt:1
insignificance input_files/TomSawyer.txt:1
reverberations input_files/TomSawyer.txt:1
encouragements input_files/TomSawyer.txt:1
weddingcakebut input_files/TomSawyer.txt:1
foundationbeam input_files/TomSawyer.txt:1
pardonpetition input_files/TomSawyer.txt:1
aswimmingdernd input_files/TomSawyer.txt:1
redistribution input_files/TomSawyer.txt:2
redistributing input_files/TomSawyer.txt:2
nonproprietary input_files/TomSawyer.txt:1
electronically input_files/TomSawyer.txt:2
identification input_files/TomSawyer.txt:1
